tamaño del vector ,tiempo tardado Sweep ,tiempo tardado random Universal ,tiempo tardado random FMR
          5000000 ,             2.01964 ,                        5.07693 ,                  5.99108
          5000000 ,             2.01239 ,                        9.59338 ,                  5.81189
          5000000 ,             2.01561 ,                        8.06714 ,                  4.53495
          5000000 ,             2.0795  ,                        9.71148 ,                  5.82829
          5000000 ,             2.01582 ,                        5.27064 ,                  5.75011
         10000000 ,             4.26477 ,                       12.371   ,                 10.4687
         10000000 ,             4.43446 ,                       14.1716  ,                 10.0944
         10000000 ,             4.28198 ,                       10.6624  ,                 10.7469
         10000000 ,             4.24023 ,                       13.9828  ,                 10.1641
         10000000 ,             4.25834 ,                       12.8156  ,                 16.2988
         15000000 ,             6.9493  ,                       17.7596  ,                 14.7845
         15000000 ,             7.16291 ,                       16.0049  ,                 15.0941
         15000000 ,             7.19052 ,                       18.1581  ,                 14.6364
         15000000 ,             7.05028 ,                       18.7725  ,                 21.1198
         15000000 ,             6.98262 ,                       16.2413  ,                 16.6697
         20000000 ,             9.00799 ,                       22.8934  ,                 25.0507
         20000000 ,             9.11948 ,                       21.7472  ,                 25.5398
         20000000 ,             9.07255 ,                       22.979   ,                 24.8024
         20000000 ,             8.99383 ,                       21.8003  ,                 19.8744
         20000000 ,             9.04294 ,                       21.0125  ,                 24.8868
         25000000 ,            10.6948  ,                       28.6172  ,                 24.419
         25000000 ,            10.6493  ,                       28.0173  ,                 35.8543
         25000000 ,            10.8006  ,                       28.3661  ,                 24.9852
         25000000 ,            10.6695  ,                       27.843   ,                 25.8135
         25000000 ,            10.8169  ,                       27.544   ,                 30.3962
         30000000 ,            12.7774  ,                       33.0951  ,                 33.4474
         30000000 ,            12.7824  ,                       40.4795  ,                 40.5267
         30000000 ,            13.0678  ,                       36.0951  ,                 36.4765
         30000000 ,            12.952   ,                       39.1991  ,                 45.2502
         30000000 ,            13.1908  ,                       44.9506  ,                 33.7551
         35000000 ,            16.1827  ,                       41.9354  ,                 41.2251
         35000000 ,            16.1128  ,                       43.5805  ,                 44.2162
         35000000 ,            16.5177  ,                       43.5266  ,                 45.9977
         35000000 ,            16.5036  ,                       57.0389  ,                 51.111
         35000000 ,            16.4418  ,                       46.0512  ,                 44.017
         40000000 ,            19.4508  ,                       51.4134  ,                 50.5289
         40000000 ,            20.0595  ,                       54.7727  ,                 64.9278
         40000000 ,            19.6368  ,                       54.0588  ,                 52.5782
         40000000 ,            19.8322  ,                       55.962   ,                 64.9541
         40000000 ,            20.3571  ,                       51.7397  ,                 48.3859
         45000000 ,            19.7832  ,                       54.3864  ,                 53.0224
         45000000 ,            19.856   ,                       54.0958  ,                 61.2312
         45000000 ,            20.1018  ,                       57.963   ,                 54.9205
         45000000 ,            20.1631  ,                       59.0489  ,                 57.6896
         45000000 ,            20.1111  ,                       58.9296  ,                 55.5123
         50000000 ,            23.6871  ,                       62.9678  ,                 60.8012
         50000000 ,            25.7808  ,                       68.8741  ,                 81.4034
         50000000 ,            23.4706  ,                       62.69    ,                 62.8044
         50000000 ,            23.482   ,                       79.2824  ,                 60.6355
         50000000 ,            23.4323  ,                       61.8916  ,                 57.8214
